job_role,gender_text_cue,candidate_location,baseline_qualification_score,gender_bias_penalty,location_bias_penalty,final_screening_score,disparate_impact_ratio,shortlisted
Software Engineer,Masculine-Leaning,DKI Jakarta,110.96,0.0,0.0,110.96,1.0,1
Data Analyst,Feminine-Leaning,Jawa Barat,98.36,12.5,0.0,85.86,0.873,1
Content Specialist,Masculine-Leaning,Jawa Timur,114.19,0.0,0.0,114.19,1.0,1
Software Engineer,Masculine-Leaning,DKI Jakarta,109.38,0.0,0.0,109.38,1.0,1
Data Analyst,Feminine-Leaning,DKI Jakarta,102.39,12.5,0.0,89.89,0.878,1
Product Manager,Masculine-Leaning,Jawa Barat,95.63,0.0,0.0,95.63,1.0,1
HR Specialist,Masculine-Leaning,Jawa Timur,97.06,0.0,0.0,97.06,1.0,1
HR Specialist,Masculine-Leaning,Luar Jawa,97.21,0.0,8.0,89.21,0.918,1
Junior Developer,Masculine-Leaning,Jawa Timur,105.62,0.0,0.0,105.62,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,97.99,0.0,8.0,89.99,0.918,1
Data Analyst,Feminine-Leaning,DKI Jakarta,103.66,12.5,0.0,91.16,0.879,1
Data Analyst,Feminine-Leaning,Jawa Timur,105.54,12.5,0.0,93.04,0.882,1
Training Manager,Masculine-Leaning,DKI Jakarta,106.1,0.0,0.0,106.1,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,102.53,0.0,0.0,102.53,1.0,1
Training Manager,Feminine-Leaning,Luar Jawa,103.53,12.5,8.0,83.03,0.802,1
Data Analyst,Masculine-Leaning,DKI Jakarta,110.95,0.0,0.0,110.95,1.0,1
Backend Developer,Masculine-Leaning,Luar Jawa,108.51,0.0,8.0,100.51,0.926,1
Data Analyst,Feminine-Leaning,DKI Jakarta,99.14,12.5,0.0,86.64,0.874,1
Data Analyst,Masculine-Leaning,Jawa Barat,101.92,0.0,0.0,101.92,1.0,1
Data Analyst,Feminine-Leaning,Jawa Barat,93.37,12.5,0.0,80.87,0.866,1
Content Specialist,Masculine-Leaning,Jawa Barat,105.82,0.0,0.0,105.82,1.0,1
Content Specialist,Masculine-Leaning,Jawa Timur,104.37,0.0,0.0,104.37,1.0,1
UI/UX Designer,Feminine-Leaning,Jawa Timur,109.9,12.5,0.0,97.4,0.886,1
UI/UX Designer,Feminine-Leaning,Jawa Timur,103.45,12.5,0.0,90.95,0.879,1
DevOps Engineer,Masculine-Leaning,Luar Jawa,99.38,0.0,8.0,91.38,0.92,1
DevOps Engineer,Masculine-Leaning,Jawa Barat,95.13,0.0,0.0,95.13,1.0,1
Data Analyst,Feminine-Leaning,DKI Jakarta,94.64,12.5,0.0,82.14,0.868,1
Content Specialist,Masculine-Leaning,DKI Jakarta,107.71,0.0,0.0,107.71,1.0,1
Backend Developer,Masculine-Leaning,Jawa Barat,97.56,0.0,0.0,97.56,1.0,1
Junior Developer,Masculine-Leaning,Jawa Barat,112.08,0.0,0.0,112.08,1.0,1
UI/UX Designer,Masculine-Leaning,Jawa Barat,101.86,0.0,0.0,101.86,1.0,1
Junior Developer,Feminine-Leaning,Luar Jawa,113.55,12.5,8.0,93.05,0.819,1
Junior Developer,Masculine-Leaning,Jawa Timur,111.18,0.0,0.0,111.18,1.0,1
HR Specialist,Feminine-Leaning,DKI Jakarta,109.43,12.5,0.0,96.93,0.886,1
